Votes,VotedBy,Name,Grade,GradeNumeric,InFinland,AreaLevel1,AreaLevel2,AreaLevel3,Crag,ApproximateCoordinates,Coordinates,Latitude,Longitude,Url27crags,UrlVideo,UrlStory,MainProfiles,MainHoldTypes,MainSkillsNeeded,Adjectives,Comments
1,Male,Millyways,8A,20,Yes,Varsinais-Suomi,Turku,Nousiainen,Nousiainen,No,"60.629997,22.013812",60.629997,22.013812,https://27crags.com/crags/nousiainen/routes/millyways,https://vimeo.com/234651442,,"hänkki (overhang),kantti (arête)","krimppi (crimp),reuna/kantti (edge/ledge),slouppi (sloper)","dyno (dyno),huukkaus (hook),keskivartalo (core),liikkuvuus (mobility),sormivoima (finger strength),tekniikka (technique),voima (power)","monipuolinen,tasaisen vaikea,tekninen","""Miellyttävät otteet, tarjoaa monipuolista kiipeilyä ja usempia betoja."""
1,Male,Paskapäivä,8A,20,Yes,Ahvenanmaan maalaiskunta,Geta,,Djupviksgrottorna,No,"60.399078,19.830894",60.399078,19.830894,https://27crags.com/crags/grottan/routes/paskapaiva,https://www.youtube.com/watch?v=TpqVKdx6A2A,,hänkki (overhang),"kahva (jug),krimppi (crimp)","huukkaus (hook),keskivartalo (core),kompressio (compression),voima (power)","jyrkkä,kompressio,selkeä linja","""Kingi linja kauniissa ympäristössä."""
1,Male,Highlander,7C+,19,Yes,Pirkanmaa,Tampere,Lempäälä,Pirunkivet,No,"61.383271,23.835086",61.383271,23.835086,https://27crags.com/crags/pirunkivet/routes/overlord-205316,https://vimeo.com/217208186,,"hänkki (overhang),pysty (wall),släbi (slab)","krimppi (crimp),reuna/kantti (edge/ledge),slouppi (sloper)","huukkaus (hook),psyykkinen vahvuus  (mental strength),sormivoima (finger strength),voima (power)","epic,legendary,rare","""monipuolinen, korkeus ja alastulo vaativat henkistä kanttia"""
1,Male,Isildur assis,7C+,19,Yes,Uusimaa,,,,Yes,"60.169856,24.938379",60.169856,24.938379,https://27crags.com/crags/sipoo/routes/isildur-assis,https://vimeo.com/144234219,,hänkki (overhang),"krimppi (crimp),slouppi (sloper)","dyno (dyno),kompressio (compression)","dynaaminen,jatkuva,kompressio",
1,Male,"Kolmen Tähden Isä , ss",7C+,19,Yes,Varsinais-Suomi,Vakka-Suomi,Uusikaupunki,Sairinen,No,"60.763520,21.691110",60.76352,21.69111,https://27crags.com/crags/sairinen/routes/project-father-of-three-stars-sitstart,https://vimeo.com/220638455,,hänkki (overhang),"gastoni (gaston),krimppi (crimp)","keskivartalo (core),liikkuvuus (mobility),sormivoima (finger strength),tekniikka (technique)","hieno,mukava,tekninen",
1,Male,Left october,7C+,19,Yes,Varsinais-Suomi,Turku,Turku,Pirunpesä,No,"60.500301,22.279900",60.500301,22.2799,https://27crags.com/crags/pirunpesa/routes/left-october,https://vimeo.com/253535392#t=7m49s,,hänkki (overhang),"krimppi (crimp),poketti (pocket),underi (undercling)","huukkaus (hook),keskivartalo (core),kestävyys (endurance),sormivoima (finger strength),tekniikka (technique),voima (power)","hieno,uniikki,voimallinen",
1,Male,On se kova,7C+,19,Yes,Kanta-Häme,,,,Yes,"60.992879,24.459024",60.992879,24.459024,https://27crags.com/crags/hameenlinna/routes/on-se-kova,https://www.youtube.com/watch?v=YJwPHC4Kdww,,hänkki (overhang),"krimppi (crimp),reuna/kantti (edge/ledge)","dyno (dyno),huukkaus (hook),keskivartalo (core),kestävyys (endurance),kompressio (compression),psyykkinen vahvuus  (mental strength),sormivoima (finger strength),voima (power)","jäntevä,mehukas,savuinen",
1,Male,One love,7C+,19,Yes,Uusimaa,,,,Yes,"60.169856,24.938379",60.169856,24.938379,https://27crags.com/crags/sipoo/routes/one-love,https://www.youtube.com/watch?v=sA-M_m66JSI&t=2m57s,,"hänkki (overhang),kantti (arête)","krimppi (crimp),reuna/kantti (edge/ledge)","dyno (dyno),huukkaus (hook),sormivoima (finger strength)","dynaaminen,herkkä","""Linjan esteettisyys ja monipuolisuus."""
1,Male,Reloaded assis,7C+,19,Yes,Uusimaa,,,,Yes,"60.169856,24.938379",60.169856,24.938379,https://27crags.com/crags/sipoo/routes/reloaded-assis,https://vimeo.com/259124076#t=3m24s,,hänkki (overhang),reuna/kantti (edge/ledge),"keskivartalo (core),sormivoima (finger strength),tekniikka (technique),voima (power)","dynaaminen,tekninen,voimakas",
1,Male,Sirkus,7C+,19,Yes,Pohjanmaa,Vaasa,Vaasa,Hautuumaa,No,"63.066181,21.728250",63.066181,21.72825,https://27crags.com/crags/hautuumaa/routes/sirkus,https://vimeo.com/55008969,,"hänkki (overhang),pysty (wall)","krimppi (crimp),pinchi (pinch),slouppi (sloper)","dyno (dyno),keskivartalo (core)","helmi,herkkä,klassikko",
1,Male,Supermartikainen SS,7C+,19,Yes,Ahvenanmaan maalaiskunta,Geta,,Djupviksgrottorna,No,"60.401355,19.831726",60.401355,19.831726,https://27crags.com/crags/grottan/routes/supermartikainen-ss,https://vimeo.com/79000280,,"hänkki (overhang),kantti (arête)","reuna/kantti (edge/ledge),slouppi (sloper)","huukkaus (hook),kompressio (compression),tekniikka (technique)","erinomaista kiveä,huukkitekniikkaa,kompressiota",
1,Male,Ceasar,7C,18,Yes,Uusimaa,Helsinki,Kirkkonummi,Knummi,No,"60.119630,24.446958",60.11963,24.446958,https://27crags.com/crags/knummi/routes/ceasar,,,"hänkki (overhang),pysty (wall)","krimppi (crimp),slouppi (sloper)","dyno (dyno),psyykkinen vahvuus  (mental strength)","kuumottava,pelkistetty,uniikki",
1,Male,Hirviö,7C,18,Yes,Varsinais-Suomi,Vakka-Suomi,Uusikaupunki,KarjuRocks,No,"60.696597,21.517678",60.696597,21.517678,https://27crags.com/crags/karju-rocks/routes/hirvio,,,katto (roof),"nyrkkijammi,reuna/kantti (edge/ledge)","jammaus,keskivartalo (core),kestävyys (endurance),kompressio (compression),liikkuvuus (mobility),psyykkinen vahvuus  (mental strength),tekniikka (technique),voima (power)","esteettinen,kauhistuttava,lumoava","""Monipuoliset muuvit jotka jatkuvat tasaisen vaikeasti."""
1,Male,Melankolia ss,7C,18,Yes,Uusimaa,Helsinki,Vantaa,Mellunmäki boulders,No,"60.239168,25.124454",60.239168,25.124454,https://27crags.com/crags/mellunmaki-boulders/routes/melankolia-ss,https://vimeo.com/91110827#t=5m20s,,"hänkki (overhang),kantti (arête)","krimppi (crimp),slouppi (sloper)","dyno (dyno),huukkaus (hook),keskivartalo (core),sormivoima (finger strength)","dynaaminen,tekninen,voimallinen","""Klassikko joka pitää jokaisen kiivetä."""
